Quick Shop / Clear Lake,50428,3456,904 N 8TH ST CLEAR LAKE 50428 (43.142868; -93.378772)
Ruback's Food Center,51560,2445,504 SOUTH HIGHWAY OAKLAND 51560 
Brothers Market / Lisbon,52253,4856,930 COMMERCIAL ST LISBON 52253 
Hy-Vee Food Store / Corning,51632,2656,300 10th St Corning 51632 (40.991951; -94.743093)
Wapello Jack and Jill,52653,4125,503 HWY 61 SOUTH WAPELLO 52653 (41.173132; -91.188948)
Smokin' Joe's #2 Tobacco and Liquor,52804,3917,1606 W LOCUST ST DAVENPORT 52804 (41.538254; -90.599037)
J & C Grocery / Allison,50602,4700,306; N MAIN ALLISON 50602 (42.75288; -92.795129)
Beecher Beverage,52001,2413,1691 ASBURY ROAD DUBUQUE 52001 (42.500858; -90.696929)
Hy-Vee Food Store #1 / Cedar Rapids,52405,2508,1843 Johnson Avenue; N.W. Cedar Rapids 52405 (41.97447; -91.697941)
Hometown Foods / State Center,50247,3950,120 E MAIN ST STATE CENTER 50247 (42.016841; -93.162378)
Hy-Vee Food Store / Fleur / DSM,50321,2561,4605 FLEUR DRIVE DES MOINES 50321 (41.542816; -93.644943)
Okoboji Avenue Liquor,51351,3390,1610 OKOBOJI AVENUE MILFORD 51351 (43.331525; -95.149955)
Great Pastimes,52310,5437,228 N Main St. Monticello 52310 (42.240193; -91.183396)
Kolby's Liquor Store,50659,3766,419 W MILWAUKEE NEW HAMPTON 50659 (43.066629; -92.319884)
Hy-Vee DrugStore / Mason City,50401,2652,875 4TH ST SW MASON CITY 50401 (43.148257; -93.213856)
Wal-Mart 1435 / Creston,50801,3830,806 LAUREL ST CRESTON 50801 (41.047716; -94.372142)
Ohio Avenue Liquor,53321,3390,1610 OKOBOJI AVENUE MILFORD 51351 (43.331525; -95.149955)
Hy-Vee Wine and Spirits / Spirit Lak,51360,2522,HWY 9 &amp; 71 SPIRIT LAKE 51360 
Pronto Market,50641,4938,201 S MAIN ST HAZLETON 50641 (42.615596; -91.905522)
Hy-Vee Food Store / Marshalltown,50158,2544,802 SOUTH CENTER MARSHALLTOWN 50158 (42.034788; -92.899809)
Shamrock Spirits,50006,4172,1204 WATER ST PO BOX 177 ALDEN 50006 (42.520423; -93.376271)
Hy-Vee Food Store / Johnston,50131,2587,5750 Merle Hay Road Johnston 50131 (41.664692; -93.697737)
Swils,51566,3816,200 E OAK ST RED OAK 51566 (41.016691; -95.230032)
Car-Go-Express / Sutherland,51058,4569,202 WEST SOUTHERN ST SUTHERLAND 51058 (42.968052; -95.499439)
Fareway Stores #019 / Sioux City,51108,4200,4016 INDIAN HILLS DR SIOUX CITY 51108 (42.538468; -96.373207)
J D Spirits Liquor,51040,3723,1023 9TH ST ONAWA 51040 (42.025841; -96.095845)
Hy-Vee Food Store #1 / WDM,50265,2535,1700 VALLEY WEST DR WEST DES MOINES 50265 
C's Liquor Store,51301,5080,719 2nd Ave W Spencer 51301 (43.145215; -95.147741)
Hy-Vee Food Store #5 / Cedar Rapids,52402,2590,3235 OAKLAND ROAD NE CEDAR RAPIDS 52402 (42.010972; -91.658105)
Nash Finch / Wholesale Food,52761,3162,807 GRANDVIEW MUSCATINE 52761 (41.408684; -91.063814)
